uplift_vs_no_verify,ssim_score,age_only_regret,state_accuracy,seed,adaptive_threshold,n_repair,claim,ssim_corrupt,label,recall,mse_score,declared_ablation_count,mse_baseline_auc,fnr_at_threshold,n_protected,effective_capacity_gain_vs_single_channel,ssim_delta,triple_regret,ssim_no_verify,modeled_ablation_count,trial,retained_value_triple,min_success_rate,ssim_vs_mse_auc_delta,crosstalk,f1,precision,ssim_pipeline,sigma,retained_value_random,total,n_nodes,ber_at_sigma_0p05,uplift_vs_modeled_ablations,all_ablations_modeled,regret_ratio_vs_age_only,n_trials,retained_value_vs_random,ssim_no_correct,n_bleach,uplift_vs_no_correction_write,state_accuracy_at_sigma_0p05,corrupt_size,roc_auc,errors,ber
0.0,,,,,,,c4_sim4_pipeline,0.975486,,,,,,,,,,,0.975486,,10,,,,,,,0.975486,,,,,,,,,,,0.975486,,0.0,,77,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,11,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,65,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,12,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,38,,,
0.0,,,,,,,c4_sim4_pipeline,0.99991,,,,,,,,,,,0.99991,,13,,,,,,,0.99991,,,,,,,,,,,0.99991,,0.0,,77,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,14,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,42,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,15,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,23,,,
0.0,,,,,,,c4_sim4_pipeline,0.971984,,,,,,,,,,,0.971984,,16,,,,,,,0.971984,,,,,,,,,,,0.971984,,0.0,,50,,,
0.0,,,,,,,c4_sim4_pipeline,0.94192,,,,,,,,,,,0.94192,,17,,,,,,,0.94192,,,,,,,,,,,0.94192,,0.0,,67,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,18,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,30,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,19,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,45,,,
,,,,,,,c4_sim4_pipeline,,,,,3,,,,,,,,2,,,0.95,,,,,,,,,,,0.0,0.0,,20,,,,,,,,,
